id,statement
F01,Requirements Engineer can create a new project.
F02,Requirements Engineer can open an existing project.
F03,Requirements Engineer can add a design document.
F04,Requirements Engineer can add a requirement statement.
F05,Requirements Engineer can view requirements dependency of a project.
F06,Requirements Engineer can check the dependency between requirements within a project.
F07,Requirements Engineer can edit a requirement statement.
F08,Requirements Engineer can delete a requirement statement.
F09,Requirements Engineer can remove a document.
F10,Requirements Engineer can view a list of requirement statements.
F11,Requirements Engineer can save the project
F12,Requirements Engineer can export the dependency graph into other format; i.e. jpg; bmp; and png
F13,The system shall be able to show a worksheet of a project
F14,Requirements Engineer can add use case description.
